frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.506,90.0,90.0,11
1,2,1.192,90.0,90.0,11
2,3,1.224,90.0,90.0,11
3,4,0.53,90.0,90.0,11
4,5,0.171,90.0,90.0,11
5,6,0.275,90.0,90.0,11
6,7,1.855,90.0,90.0,11
7,8,5.789,90.0,90.0,11
8,9,2.24,90.0,90.0,15
9,10,0.42,90.0,90.0,12
10,11,4.488,90.0,90.0,12
11,12,1.361,90.0,90.0,13
12,13,0.411,90.0,90.0,12
13,14,0.434,90.0,90.0,12
14,15,0.265,90.0,90.0,12
15,16,0.647,90.0,90.0,12
16,17,0.3,90.0,90.0,11
17,18,0.417,90.0,90.0,11
18,19,0.207,90.0,90.0,11
19,0,0.736,90.0,90.0,11
