frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.348,90.0,90.0,11
1,2,1.842,90.0,90.0,11
2,3,0.64,90.0,90.0,11
3,4,0.284,90.0,90.0,11
4,5,0.866,90.0,90.0,11
5,6,1.297,90.0,90.0,11
6,7,3.41,90.0,90.0,11
7,8,1.885,90.0,90.0,11
8,9,0.802,90.0,90.0,11
9,10,0.386,90.0,90.0,11
10,11,5.231,90.0,90.0,11
11,12,3.671,90.0,90.0,11
12,13,2.241,90.0,90.0,11
13,14,0.815,90.0,90.0,11
14,15,0.13,90.0,90.0,11
15,16,0.313,90.0,90.0,11
16,17,1.614,90.0,90.0,11
17,18,0.745,90.0,90.0,11
18,19,0.643,90.0,90.0,11
19,0,0.573,90.0,90.0,11
