frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,4.733,90.0,90.0,11
1,2,2.553,90.0,90.0,11
2,3,0.839,90.0,90.0,11
3,4,0.379,90.0,90.0,11
4,5,4.511,90.0,90.0,11
5,6,1.229,90.0,90.0,11
6,7,3.331,90.0,90.0,12
7,8,7.283,90.0,90.0,13
8,9,11.582,90.0,90.0,12
9,10,3.192,90.0,90.0,13
10,11,2.063,90.0,90.0,12
11,12,0.436,90.0,90.0,11
12,13,4.741,90.0,90.0,11
13,14,2.139,90.0,90.0,11
14,15,0.285,90.0,90.0,11
15,16,0.482,90.0,90.0,11
16,17,2.451,90.0,90.0,11
17,18,1.004,90.0,90.0,11
18,19,0.156,90.0,90.0,11
19,0,3.121,90.0,90.0,11
