frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,1.337,90.0,90.0,11
1,2,2.122,90.0,90.0,11
2,3,0.923,90.0,90.0,11
3,4,1.168,90.0,90.0,11
4,5,0.535,90.0,90.0,11
5,6,1.575,90.0,90.0,11
6,7,2.125,90.0,90.0,11
7,8,1.707,90.0,90.0,11
8,9,3.336,90.0,90.0,12
9,10,2.238,90.0,90.0,13
10,11,5.028,90.0,90.0,14
11,12,1.645,90.0,90.0,12
12,13,0.139,90.0,90.0,11
13,14,0.344,90.0,90.0,11
14,15,0.524,90.0,90.0,11
15,16,0.313,90.0,90.0,11
16,17,0.12,90.0,90.0,11
17,18,0.177,90.0,90.0,11
18,19,0.608,90.0,90.0,11
19,0,0.312,90.0,90.0,11
