frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.568,90.0,90.0,11
1,2,1.121,90.0,90.0,11
2,3,0.714,90.0,90.0,11
3,4,0.142,90.0,90.0,11
4,5,0.485,90.0,90.0,11
5,6,0.821,90.0,90.0,11
6,7,2.062,90.0,90.0,11
7,8,1.251,90.0,90.0,11
8,9,0.169,90.0,90.0,11
9,10,0.032,90.0,90.0,11
10,11,2.832,90.0,90.0,11
11,12,1.075,90.0,90.0,11
12,13,0.407,90.0,90.0,11
13,14,0.698,90.0,90.0,11
14,15,0.554,90.0,90.0,11
15,16,0.652,90.0,90.0,11
16,17,0.222,90.0,90.0,11
17,18,0.311,90.0,90.0,11
18,19,0.88,90.0,90.0,11
19,0,1.02,90.0,90.0,11
