frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,11.536,90.0,90.0,11
1,2,7.138,90.0,90.0,11
2,3,2.46,90.0,90.0,11
3,4,2.719,90.0,90.0,11
4,5,7.871,90.0,90.0,11
5,6,12.621,90.0,90.0,11
6,7,8.064,90.0,90.0,11
7,8,2.768,90.0,90.0,11
8,9,3.875,90.0,90.0,11
9,10,5.038,90.0,90.0,11
10,11,8.214,90.0,90.0,11
11,12,10.865,90.0,90.0,11
12,13,5.856,90.0,90.0,11
13,14,5.397,90.0,90.0,11
14,15,2.561,90.0,90.0,11
15,16,0.862,90.0,90.0,11
16,17,0.228,90.0,90.0,11
17,18,0.473,90.0,90.0,11
18,19,0.456,90.0,90.0,11
19,0,0.192,90.0,90.0,11
