frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,5.133,90.0,90.0,11
1,2,3.814,90.0,90.0,11
2,3,2.555,90.0,90.0,11
3,4,1.452,90.0,90.0,11
4,5,0.489,90.0,90.0,11
5,6,2.106,90.0,90.0,11
6,7,4.364,90.0,90.0,11
7,8,2.326,90.0,90.0,11
8,9,0.344,90.0,90.0,11
9,10,0.939,90.0,90.0,11
10,11,1.61,90.0,90.0,11
11,12,2.115,90.0,90.0,11
12,13,0.068,90.0,90.0,11
13,14,0.478,90.0,90.0,11
14,15,0.741,90.0,90.0,11
15,16,1.331,90.0,90.0,11
16,17,0.812,90.0,90.0,11
17,18,0.395,90.0,90.0,11
18,19,1.865,90.0,90.0,11
19,0,1.861,90.0,90.0,11
