frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,6.323,90.0,90.0,15
1,2,2.541,90.0,90.0,13
2,3,1.53,90.0,90.0,12
3,4,0.64,90.0,90.0,11
4,5,0.95,90.0,90.0,11
5,6,3.799,90.0,90.0,11
6,7,1.117,90.0,90.0,11
7,8,3.713,90.0,90.0,12
8,9,6.968,90.0,90.0,15
9,10,7.135,90.0,90.0,14
10,11,2.399,90.0,90.0,14
11,12,0.232,90.0,90.0,12
12,13,0.552,90.0,90.0,12
13,14,1.057,90.0,90.0,9
14,15,0.807,90.0,90.0,13
15,16,0.535,90.0,90.0,14
16,17,0.148,90.0,90.0,14
17,18,0.198,90.0,90.0,14
18,19,0.378,90.0,90.0,15
19,0,0.174,90.0,90.0,15
