frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,5.72,90.0,90.0,11
1,2,3.945,90.0,90.0,11
2,3,2.358,90.0,90.0,11
3,4,0.798,90.0,90.0,11
4,5,1.378,90.0,90.0,11
5,6,2.822,90.0,90.0,11
6,7,1.412,90.0,90.0,11
7,8,0.893,90.0,90.0,11
8,9,2.693,90.0,90.0,11
9,10,4.541,90.0,90.0,11
10,11,5.687,90.0,90.0,11
11,12,4.865,90.0,90.0,11
12,13,0.494,90.0,90.0,11
13,14,0.512,90.0,90.0,11
14,15,0.244,90.0,90.0,11
15,16,0.337,90.0,90.0,11
16,17,0.166,90.0,90.0,11
17,18,0.469,90.0,90.0,11
18,19,0.884,90.0,90.0,11
19,0,0.538,90.0,90.0,11
