frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,3.694,90.0,90.0,11
1,2,2.316,90.0,90.0,13
2,3,0.798,90.0,90.0,14
3,4,0.456,90.0,90.0,14
4,5,0.671,90.0,90.0,15
5,6,5.065,90.0,90.0,14
6,7,0.812,90.0,90.0,11
7,8,1.32,90.0,90.0,11
8,9,2.736,90.0,90.0,11
9,10,0.868,90.0,90.0,11
10,11,1.382,90.0,90.0,11
11,12,1.929,90.0,90.0,12
12,13,3.89,90.0,90.0,12
13,14,0.492,90.0,90.0,13
14,15,1.448,90.0,90.0,12
15,16,0.447,90.0,90.0,11
16,17,0.634,90.0,90.0,11
17,18,0.114,90.0,90.0,11
18,19,0.017,90.0,90.0,11
19,0,0.932,90.0,90.0,11
