frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.647,90.0,90.0,11
1,2,1.972,90.0,90.0,11
2,3,2.047,90.0,90.0,11
3,4,0.929,90.0,90.0,11
4,5,2.481,90.0,90.0,11
5,6,1.129,90.0,90.0,11
6,7,5.219,90.0,90.0,11
7,8,2.866,90.0,90.0,13
8,9,1.154,90.0,90.0,14
9,10,0.211,90.0,90.0,14
10,11,6.901,90.0,90.0,14
11,12,3.712,90.0,90.0,12
12,13,0.441,90.0,90.0,11
13,14,0.697,90.0,90.0,11
14,15,0.472,90.0,90.0,11
15,16,0.381,90.0,90.0,11
16,17,0.729,90.0,90.0,11
17,18,0.555,90.0,90.0,11
18,19,0.689,90.0,90.0,11
19,0,0.165,90.0,90.0,11
