frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,1.353,90.0,90.0,12
1,2,3.312,90.0,90.0,12
2,3,3.297,90.0,90.0,12
3,4,1.254,90.0,90.0,12
4,5,4.059,90.0,90.0,12
5,6,2.523,90.0,90.0,12
6,7,0.796,90.0,90.0,12
7,8,0.219,90.0,90.0,12
8,9,0.866,90.0,90.0,12
9,10,1.508,90.0,90.0,12
10,11,2.254,90.0,90.0,12
11,12,0.034,90.0,90.0,10
12,13,0.178,90.0,90.0,10
13,14,0.231,90.0,90.0,10
14,15,0.412,90.0,90.0,10
15,16,1.299,90.0,90.0,10
16,17,0.707,90.0,90.0,12
17,18,0.242,90.0,90.0,12
18,19,0.845,90.0,90.0,12
19,0,0.658,90.0,90.0,12
