frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.472,90.0,90.0,11
1,2,0.978,90.0,90.0,11
2,3,0.582,90.0,90.0,11
3,4,0.172,90.0,90.0,11
4,5,0.124,90.0,90.0,11
5,6,0.195,90.0,90.0,11
6,7,1.825,90.0,90.0,11
7,8,3.308,90.0,90.0,11
8,9,1.948,90.0,90.0,11
9,10,0.784,90.0,90.0,11
10,11,0.139,90.0,90.0,9
11,12,3.201,90.0,90.0,9
12,13,1.071,90.0,90.0,11
13,14,0.191,90.0,90.0,11
14,15,0.275,90.0,90.0,11
15,16,1.139,90.0,90.0,11
16,17,0.679,90.0,90.0,11
17,18,0.206,90.0,90.0,11
18,19,0.008,90.0,90.0,11
19,0,0.011,90.0,90.0,11
