frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,15.15,90.0,90.0,11
1,2,8.596,90.0,90.0,11
2,3,2.807,90.0,90.0,11
3,4,1.026,90.0,90.0,11
4,5,1.492,90.0,90.0,11
5,6,10.369,90.0,90.0,11
6,7,2.125,90.0,90.0,11
7,8,6.637,90.0,90.0,11
8,9,11.979,90.0,90.0,11
9,10,5.796,90.0,90.0,11
10,11,1.963,90.0,90.0,11
11,12,0.265,90.0,90.0,11
12,13,0.404,90.0,90.0,11
13,14,1.879,90.0,90.0,11
14,15,8.502,90.0,90.0,11
15,16,4.77,90.0,90.0,11
16,17,1.528,90.0,90.0,11
17,18,3.779,90.0,90.0,11
18,19,7.912,90.0,90.0,11
19,0,4.122,90.0,90.0,11
