frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.07,90.0,90.0,11
1,2,0.959,90.0,90.0,11
2,3,0.584,90.0,90.0,11
3,4,0.083,90.0,90.0,11
4,5,0.127,90.0,90.0,11
5,6,0.726,90.0,90.0,11
6,7,0.69,90.0,90.0,11
7,8,0.614,90.0,90.0,11
8,9,0.494,90.0,90.0,11
9,10,0.239,90.0,90.0,11
10,11,0.786,90.0,90.0,11
11,12,0.429,90.0,90.0,11
12,13,0.092,90.0,90.0,11
13,14,0.09,90.0,90.0,11
14,15,0.065,90.0,90.0,11
15,16,0.126,90.0,90.0,11
16,17,0.1,90.0,90.0,11
17,18,0.073,90.0,90.0,11
18,19,0.302,90.0,90.0,11
19,0,0.535,90.0,90.0,11
