frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,2.406,90.0,90.0,11
1,2,3.924,90.0,90.0,11
2,3,1.816,90.0,90.0,11
3,4,1.51,90.0,90.0,11
4,5,2.919,90.0,90.0,11
5,6,1.478,90.0,90.0,11
6,7,1.7,90.0,90.0,11
7,8,2.802,90.0,90.0,11
8,9,1.604,90.0,90.0,11
9,10,5.686,90.0,90.0,11
10,11,4.871,90.0,90.0,11
11,12,3.753,90.0,90.0,11
12,13,1.621,90.0,90.0,11
13,14,2.309,90.0,90.0,11
14,15,4.761,90.0,90.0,11
15,16,2.115,90.0,90.0,11
16,17,0.272,90.0,90.0,11
17,18,0.938,90.0,90.0,11
18,19,0.713,90.0,90.0,11
19,0,0.842,90.0,90.0,11
