frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.609,90.0,90.0,11
1,2,0.515,90.0,90.0,11
2,3,0.823,90.0,90.0,11
3,4,0.519,90.0,90.0,11
4,5,0.088,90.0,90.0,11
5,6,0.201,90.0,90.0,11
6,7,1.192,90.0,90.0,11
7,8,2.219,90.0,90.0,11
8,9,1.581,90.0,90.0,11
9,10,0.683,90.0,90.0,11
10,11,0.274,90.0,90.0,11
11,12,2.609,90.0,90.0,11
12,13,0.875,90.0,90.0,11
13,14,0.235,90.0,90.0,11
14,15,0.224,90.0,90.0,11
15,16,0.555,90.0,90.0,11
16,17,0.641,90.0,90.0,11
17,18,0.198,90.0,90.0,11
18,19,1.002,90.0,90.0,11
19,0,0.668,90.0,90.0,11
