frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,2.516,90.0,90.0,11
1,2,2.5,90.0,90.0,11
2,3,1.316,90.0,90.0,11
3,4,0.497,90.0,90.0,11
4,5,0.941,90.0,90.0,11
5,6,0.467,90.0,90.0,11
6,7,6.701,90.0,90.0,11
7,8,3.794,90.0,90.0,14
8,9,1.601,90.0,90.0,15
9,10,0.385,90.0,90.0,15
10,11,5.503,90.0,90.0,15
11,12,1.847,90.0,90.0,12
12,13,0.17,90.0,90.0,11
13,14,0.45,90.0,90.0,11
14,15,0.428,90.0,90.0,11
15,16,0.27,90.0,90.0,11
16,17,0.132,90.0,90.0,11
17,18,0.056,90.0,90.0,11
18,19,0.183,90.0,90.0,11
19,0,0.397,90.0,90.0,11
