frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,1.62,90.0,90.0,11
1,2,0.84,90.0,90.0,11
2,3,0.176,90.0,90.0,11
3,4,0.188,90.0,90.0,11
4,5,0.273,90.0,90.0,11
5,6,2.363,90.0,90.0,11
6,7,0.322,90.0,90.0,11
7,8,0.877,90.0,90.0,11
8,9,0.925,90.0,90.0,11
9,10,1.295,90.0,90.0,11
10,11,0.423,90.0,90.0,11
11,12,0.076,90.0,90.0,11
12,13,0.157,90.0,90.0,11
13,14,0.409,90.0,90.0,11
14,15,0.358,90.0,90.0,11
15,16,0.284,90.0,90.0,11
16,17,0.104,90.0,90.0,11
17,18,0.263,90.0,90.0,11
18,19,0.45,90.0,90.0,11
19,0,0.17,90.0,90.0,11
