frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,3.13,90.0,90.0,13
1,2,8.072,90.0,90.0,16
2,3,12.396,90.0,90.0,18
3,4,1.775,90.0,90.0,11
4,5,2.609,90.0,90.0,9
5,6,12.871,90.0,90.0,12
6,7,9.696,90.0,90.0,15
7,8,4.137,90.0,90.0,12
8,9,1.323,90.0,90.0,9
9,10,0.597,90.0,90.0,8
10,11,1.99,90.0,90.0,9
11,12,3.075,90.0,90.0,11
12,13,5.844,90.0,90.0,14
13,14,6.616,90.0,90.0,18
14,15,5.215,90.0,90.0,14
15,16,1.625,90.0,90.0,12
16,17,13.256,90.0,90.0,11
17,18,5.465,90.0,90.0,15
18,19,2.754,90.0,90.0,11
19,0,1.734,90.0,90.0,12
