frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,2.568,90.0,90.0,11
1,2,0.941,90.0,90.0,11
2,3,0.238,90.0,90.0,11
3,4,0.256,90.0,90.0,11
4,5,0.388,90.0,90.0,11
5,6,2.818,90.0,90.0,11
6,7,0.977,90.0,90.0,11
7,8,3.046,90.0,90.0,12
8,9,5.411,90.0,90.0,13
9,10,4.616,90.0,90.0,15
10,11,2.278,90.0,90.0,12
11,12,0.799,90.0,90.0,11
12,13,0.371,90.0,90.0,11
13,14,0.376,90.0,90.0,11
14,15,1.09,90.0,90.0,11
15,16,0.512,90.0,90.0,11
16,17,0.053,90.0,90.0,11
17,18,0.479,90.0,90.0,11
18,19,0.726,90.0,90.0,11
19,0,1.523,90.0,90.0,11
