frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,2.157,90.0,90.0,11
1,2,1.145,90.0,90.0,11
2,3,0.337,90.0,90.0,11
3,4,0.762,90.0,90.0,11
4,5,1.701,90.0,90.0,11
5,6,0.873,90.0,90.0,11
6,7,1.885,90.0,90.0,11
7,8,1.264,90.0,90.0,11
8,9,0.677,90.0,90.0,11
9,10,0.198,90.0,90.0,11
10,11,5.541,90.0,90.0,11
11,12,1.927,90.0,90.0,11
12,13,0.35,90.0,90.0,11
13,14,0.439,90.0,90.0,11
14,15,0.619,90.0,90.0,11
15,16,1.256,90.0,90.0,11
16,17,0.617,90.0,90.0,11
17,18,0.067,90.0,90.0,11
18,19,0.216,90.0,90.0,11
19,0,0.198,90.0,90.0,11
