frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,1.001,90.0,90.0,11
1,2,0.658,90.0,90.0,11
2,3,0.226,90.0,90.0,11
3,4,0.247,90.0,90.0,11
4,5,0.566,90.0,90.0,11
5,6,0.205,90.0,90.0,11
6,7,2.271,90.0,90.0,11
7,8,1.555,90.0,90.0,11
8,9,0.512,90.0,90.0,11
9,10,0.12,90.0,90.0,11
10,11,0.491,90.0,90.0,11
11,12,1.008,90.0,90.0,11
12,13,0.726,90.0,90.0,11
13,14,0.136,90.0,90.0,11
14,15,0.525,90.0,90.0,11
15,16,0.175,90.0,90.0,11
16,17,0.325,90.0,90.0,11
17,18,0.196,90.0,90.0,11
18,19,0.411,90.0,90.0,11
19,0,0.034,90.0,90.0,11
