frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,2.916,90.0,90.0,16
1,2,2.185,90.0,90.0,13
2,3,0.851,90.0,90.0,12
3,4,0.852,90.0,90.444,11
4,5,2.931,90.444,91.778,12
5,6,5.393,91.778,94.0,15
6,7,4.923,94.0,97.938,18
7,8,3.302,97.938,100.75,17
8,9,1.92,100.75,102.438,15
9,10,0.544,102.438,103.0,12
10,11,1.185,103.0,102.268,11
11,12,2.558,102.268,100.5,13
12,13,3.083,100.5,98.732,16
13,14,1.395,98.732,98.0,15
14,15,5.343,98.0,94.667,15
15,16,2.808,94.667,92.667,15
16,17,0.909,92.667,92.0,13
17,18,0.266,92.0,91.5,13
18,19,0.32,91.5,90.5,13
19,0,3.254,90.5,90.0,15
