frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,6.078,90.0,90.0,11
1,2,3.059,90.0,90.0,11
2,3,1.164,90.0,90.0,11
3,4,2.146,90.0,90.0,11
4,5,2.085,90.0,90.0,11
5,6,1.257,90.0,90.0,11
6,7,3.49,90.0,90.0,11
7,8,7.015,90.0,90.0,11
8,9,6.992,90.0,90.0,11
9,10,4.149,90.0,90.0,11
10,11,2.713,90.0,90.0,11
11,12,0.904,90.0,90.0,11
12,13,1.321,90.0,90.0,11
13,14,3.863,90.0,90.0,11
14,15,6.487,90.0,90.0,11
15,16,0.864,90.0,90.0,11
16,17,0.666,90.0,90.0,11
17,18,0.455,90.0,90.0,11
18,19,0.234,90.0,90.0,11
19,0,0.412,90.0,90.0,11
