frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.638,90.0,90.0,11
1,2,1.326,90.0,90.0,11
2,3,0.158,90.0,90.0,11
3,4,0.473,90.0,90.0,11
4,5,0.152,90.0,90.0,11
5,6,0.158,90.0,90.0,11
6,7,0.751,90.0,90.0,11
7,8,0.946,90.0,90.0,11
8,9,2.015,90.0,90.0,11
9,10,1.414,90.0,90.0,11
10,11,0.613,90.0,90.0,11
11,12,2.684,90.0,90.0,11
12,13,1.079,90.0,90.0,11
13,14,0.412,90.0,90.0,11
14,15,0.307,90.0,90.0,11
15,16,0.565,90.0,90.0,11
16,17,0.362,90.0,90.0,11
17,18,0.415,90.0,90.0,11
18,19,0.683,90.0,90.0,11
19,0,1.628,90.0,90.0,11
