frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.554,90.0,90.0,12
1,2,1.465,90.0,90.0,12
2,3,1.996,90.0,90.0,12
3,4,0.885,90.0,90.0,11
4,5,0.132,90.0,90.0,11
5,6,0.597,90.0,90.0,11
6,7,1.357,90.0,90.0,11
7,8,3.32,90.0,90.0,11
8,9,2.268,90.0,90.0,13
9,10,1.464,90.0,90.0,15
10,11,0.392,90.0,90.0,16
11,12,4.017,90.0,90.0,17
12,13,1.282,90.0,90.0,13
13,14,0.273,90.0,90.0,12
14,15,0.389,90.0,90.0,12
15,16,1.618,90.0,90.0,12
16,17,0.954,90.0,90.0,12
17,18,0.366,90.0,90.0,11
18,19,1.462,90.0,90.0,11
19,0,1.728,90.0,90.0,11
