frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.862,90.0,90.0,11
1,2,1.273,90.0,90.0,11
2,3,0.379,90.0,90.0,11
3,4,0.056,90.0,90.0,11
4,5,0.464,90.0,90.0,11
5,6,0.803,90.0,90.0,11
6,7,2.181,90.0,90.0,11
7,8,1.755,90.0,90.0,11
8,9,1.24,90.0,90.0,11
9,10,0.757,90.0,90.0,11
10,11,1.789,90.0,90.0,11
11,12,3.383,90.0,90.0,11
12,13,3.592,90.0,90.0,11
13,14,1.976,90.0,90.0,11
14,15,0.981,90.0,90.0,11
15,16,0.89,90.0,90.0,11
16,17,0.502,90.0,90.0,11
17,18,0.08,90.0,90.0,11
18,19,0.449,90.0,90.0,11
19,0,0.184,90.0,90.0,11
