frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,1.059,90.0,90.0,11
1,2,2.547,90.0,90.0,11
2,3,4.02,90.0,90.0,11
3,4,5.535,90.0,90.0,11
4,5,5.757,90.0,90.0,11
5,6,2.267,90.0,90.0,11
6,7,0.734,90.0,90.0,11
7,8,1.884,90.0,90.0,11
8,9,2.628,90.0,90.0,11
9,10,4.293,90.0,90.0,11
10,11,5.662,90.0,90.0,11
11,12,2.494,90.0,90.0,8
12,13,6.099,90.0,90.0,8
13,14,10.024,90.0,90.0,11
14,15,7.931,90.0,90.0,11
15,16,3.448,90.0,90.0,11
16,17,1.03,90.0,90.0,11
17,18,1.533,90.0,90.0,11
18,19,1.095,90.0,90.0,11
19,0,1.541,90.0,90.0,11
