frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,2.674,90.0,90.0,11
1,2,5.172,90.0,90.0,11
2,3,2.272,90.0,90.0,11
3,4,0.541,90.0,90.0,11
4,5,0.788,90.0,90.0,11
5,6,5.88,90.0,90.0,11
6,7,2.097,90.0,90.0,11
7,8,6.373,90.0,90.0,11
8,9,11.186,90.0,90.0,11
9,10,5.082,90.0,90.0,11
10,11,3.47,90.0,90.0,11
11,12,2.046,90.0,90.0,11
12,13,0.673,90.0,90.0,11
13,14,3.272,90.0,90.0,11
14,15,0.114,90.0,90.0,11
15,16,0.788,90.0,90.0,11
16,17,0.165,90.0,90.0,11
17,18,0.418,90.0,90.0,11
18,19,0.433,90.0,90.0,11
19,0,1.217,90.0,90.0,11
