frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,4.927,90.0,90.0,11
1,2,9.06,90.0,90.0,11
2,3,3.912,90.0,90.0,11
3,4,2.204,90.0,90.0,11
4,5,4.548,90.0,90.0,11
5,6,2.804,90.0,90.0,11
6,7,3.63,90.0,90.0,11
7,8,9.047,90.0,90.0,11
8,9,10.364,90.0,90.0,11
9,10,4.579,90.0,90.0,11
10,11,6.649,90.0,90.0,8
11,12,14.981,90.0,90.0,11
12,13,13.93,90.0,90.0,11
13,14,6.427,90.0,90.0,11
14,15,7.876,90.0,90.0,11
15,16,14.143,90.0,90.0,11
16,17,6.697,90.0,90.0,11
17,18,5.605,90.0,90.0,11
18,19,10.341,90.0,90.0,11
19,0,5.797,90.0,90.0,11
